STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
276120,99999, 20181201,   12.4, 8,    4.3, 8, 1037.9, 8, 1016.8, 8, 999.9, 0,   2.6, 6,   3.9, 999.9,   18.0 ,   4.8 , 0.00F,  1.6, 000000,
276120,99999, 20181202,   22.8, 8,   18.0, 8, 1023.0, 8, 1002.6, 8, 999.9, 0,   3.6, 8,   3.9, 999.9,   24.8*,  15.8 , 0.12F,  2.4, 001000,
276120,99999, 20181203,   23.7, 8,   17.3, 8, 1020.3, 8, 1000.1, 8, 999.9, 0,   2.2, 7,   3.9, 999.9,   25.3 ,  20.8*, 0.01F,  2.4, 001000,
276120,99999, 20181204,   25.5, 8,   19.7, 8, 1020.2, 8, 1000.0, 8, 999.9, 0,   4.4, 8,   5.8, 999.9,   30.7*,  20.3 , 0.01F,  2.4, 001000,
276120,99999, 20181205,   31.2, 8,   28.4, 8, 1020.2, 8, 1000.3, 8, 999.9, 0,   3.2, 8,   3.9, 999.9,   33.6 ,  27.9*, 0.02F,  2.0, 001000,
276120,99999, 20181206,   29.9, 8,   28.0, 8, 1019.6, 8,  999.6, 8, 999.9, 0,   2.3, 5,   3.9, 999.9,   31.8 ,  27.5 , 0.35F,  5.1, 001000,
276120,99999, 20181207,   26.5, 8,   21.9, 8, 1018.8, 8,  998.7, 8, 999.9, 0,   2.5, 7,   3.9, 999.9,   29.7*,  24.1*, 0.01F,  5.5, 001000,
276120,99999, 20181208,   24.7, 8,   20.1, 8, 1015.6, 8,  995.4, 8, 999.9, 0,   2.4, 8,   3.9, 999.9,   25.9 ,  22.5 , 0.00F,  5.5, 000000,
276120,99999, 20181209,   25.4, 8,   23.0, 8, 1009.5, 8,  989.5, 8, 999.9, 0,   3.2, 8,   3.9, 999.9,   28.0*,  23.4 , 0.13F,  5.5, 001000,
276120,99999, 20181210,   33.2, 8,   31.3, 8, 1007.4, 8,  987.8, 8, 999.9, 0,   2.5, 7,   3.9, 999.9,   34.9 ,  26.4 , 0.09F,  6.7, 001000,
276120,99999, 20181211,   33.2, 8,   32.1, 8, 1012.3, 8,  992.6, 8, 999.9, 0,   2.2, 7,   3.9, 999.9,   34.0 ,  32.4 , 0.22F,  5.9, 001000,
276120,99999, 20181212,   32.9, 7,   30.6, 7, 1019.1, 7,  999.2, 7, 999.9, 0,   3.2, 6,   5.8, 999.9,   34.2 ,  32.0*, 0.00F,  5.5, 001000,
276120,99999, 20181213,   30.4, 8,   28.4, 8, 1022.6, 8, 1002.6, 8, 999.9, 0,   2.9, 8,   5.8, 999.9,   31.6*,  28.4*, 0.24F,  5.9, 001000,
276120,99999, 20181214,   28.3, 8,   25.9, 8, 1028.7, 8, 1008.5, 8, 999.9, 0,   2.7, 8,   3.9, 999.9,   29.3 ,  27.5*, 0.01F,  7.1, 001000,
