STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
276120,99999, 19361231,   16.0, 4, 9999.9, 0, 1022.9, 4, 9999.9, 0,   3.0, 4,   9.0, 4,  13.0, 999.9,   27.0*,   5.0 , 0.00I,999.9, 000000,
276120,99999, 19370101,   33.5, 4, 9999.9, 0, 1020.9, 4, 9999.9, 0,   2.5, 4,  13.0, 4,  13.0, 999.9,   34.0*,  18.0 ,99.99 ,999.9, 010000,
276120,99999, 19370102,   28.8, 4, 9999.9, 0, 1020.4, 4, 9999.9, 0,   4.0, 4, 999.9, 0, 999.9, 999.9,   32.0 ,  27.0*, 0.00I,999.9, 000000,
276120,99999, 19370103,   29.0, 4, 9999.9, 0, 1013.2, 4, 9999.9, 0,   2.5, 4,  17.0, 4,  23.9, 999.9,   30.0 ,  27.0 ,99.99 ,999.9, 011000,
276120,99999, 19370104,   30.0, 4, 9999.9, 0, 1013.2, 4, 9999.9, 0,   2.2, 4,  13.3, 4,  18.1, 999.9,   32.0 ,  28.0 ,99.99 ,999.9, 001000,
276120,99999, 19370105,   28.0, 4, 9999.9, 0, 1020.6, 4, 9999.9, 0,   3.4, 4,  11.0, 4,  13.0, 999.9,   32.0 ,  23.0*, 0.00I,999.9, 000000,
276120,99999, 19370106,   26.5, 4, 9999.9, 0, 1016.5, 4, 9999.9, 0,   1.5, 4,  13.7, 4,  23.9, 999.9,   28.0 ,  21.0 ,99.99 ,999.9, 001000,
276120,99999, 19370107,   29.5, 4, 9999.9, 0, 1010.5, 4, 9999.9, 0,   0.8, 4,  11.3, 4,  18.1, 999.9,   30.0 ,  27.0 ,99.99 ,999.9, 001000,
276120,99999, 19370108,   32.5, 4, 9999.9, 0, 1006.2, 4, 9999.9, 0,   0.5, 4,  13.5, 4,  18.1, 999.9,   34.0 ,  30.0 ,99.99 ,999.9, 001000,
276120,99999, 19370109,   31.7, 4, 9999.9, 0, 1024.1, 4, 9999.9, 0,   1.0, 4,   3.5, 4,   5.1, 999.9,   34.0*,  27.0*,99.99 ,999.9, 101000,
